Name,Gender,Rating Value,Rating Count,Main Accords,Description,url
A*Men Pure Malt Muglerfor men,for men,4.45,6555,"['fruity', 'whiskey', 'woody', 'sweet', 'earthy', 'warm spicy', 'patchouli']","A*Men Pure MaltbyMugleris a Amber Woody fragrance for men.A*Men Pure Maltwas launched in 2009. Top notes are Fruity Notes, Orange and Bergamot; middle notes are Malt, Whiskey, Patchouli, Coffee and Cedar; base notes are Peat, Vanilla, Amber and Musk.",https://www.fragrantica.com/perfume/Mugler/A-Men-Pure-Malt-6103.html
Herod Parfums de Marlyfor men,for men,4.45,8151,"['tobacco', 'vanilla', 'warm spicy', 'cinnamon', 'sweet', 'amber', 'woody', 'musky', 'powdery', 'balsamic']","HerodbyParfums de Marlyis a Woody Spicy fragrance for men.Herodwas launched in 2012. The nose behind this fragrance is Olivier Pescheux. Top notes are Cinnamon and Pepperwoodâ„¢; middle notes are Tobacco Leaf, Incense, Osmanthus and Labdanum; base notes are Vanilla, Iso E Super, Cedar, Musk, Cypriol Oil or Nagarmotha and Vetiver.",https://www.fragrantica.com/perfume/Parfums-de-Marly/Herod-16939.html
Dior Homme Cologne 2013 Diorfor men,for men,4.44,5735,"['citrus', 'white floral', 'fresh spicy', 'musky', 'powdery', 'aromatic']",Dior Homme Cologne 2013byDioris a Citrus Aromatic fragrance for men.Dior Homme Cologne 2013was launched in 2013. The nose behind this fragrance is FranÃ§ois Demachy. Top note is Calabrian bergamot; middle note is Grapefruit blossom; base note is Musk.,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Cologne-2013-17256.html
Gentleman Eau de Parfum Reserve PrivÃ©e Givenchyfor men,for men,4.44,5319,"['woody', 'iris', 'whiskey', 'amber', 'powdery', 'violet', 'warm spicy', 'earthy', 'nutty']","Gentleman Eau de Parfum Reserve PrivÃ©ebyGivenchyis a Amber Vanilla fragrance for men. This is a new fragrance.Gentleman Eau de Parfum Reserve PrivÃ©ewas launched in 2022. Gentleman Eau de Parfum Reserve PrivÃ©e was created by Nathalie Lorson and Olivier Cresp. Top note is Bergamot; middle notes are Iris and Chestnut; base notes are Whiskey, Woodsy Notes and Amber.",https://www.fragrantica.com/perfume/Givenchy/Gentleman-Eau-de-Parfum-Reserve-Privee-71272.html
Ultra Male Jean Paul Gaultierfor men,for men,4.44,12479,"['vanilla', 'fruity', 'sweet', 'aromatic', 'cinnamon', 'warm spicy', 'fresh spicy', 'lavender', 'powdery', 'green']","Ultra MalebyJean Paul Gaultieris a Amber Fougere fragrance for men.Ultra Malewas launched in 2015. The nose behind this fragrance is Francis Kurkdjian. Top notes are Pear, Lavender, Mint, Bergamot and Lemon; middle notes are Cinnamon, Clary Sage and Caraway; base notes are Black Vanilla Husk, Amber, Patchouli and Cedar.",https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Ultra-Male-30947.html
La Nuit de l'Homme Yves Saint Laurentfor men,for men,4.44,19533,"['aromatic', 'warm spicy', 'lavender', 'woody', 'fresh spicy', 'citrus']","La Nuit de l'HommebyYves Saint Laurentis a Woody Spicy fragrance for men.La Nuit de l'Hommewas launched in 2009. La Nuit de l'Homme was created by Anne Flipo, Pierre Wargnye and Dominique Ropion. Top note is Cardamom; middle notes are Lavender, Virginia Cedar and Bergamot; base notes are Vetiver and Caraway.",https://www.fragrantica.com/perfume/Yves-Saint-Laurent/La-Nuit-de-l-Homme-5521.html
Prada L'Homme Pradafor men,for men,4.43,11046,"['powdery', 'iris', 'violet', 'woody', 'fresh spicy', 'warm spicy', 'aromatic', 'earthy', 'amber', 'floral']","Prada L'HommebyPradais a Woody Chypre fragrance for men.Prada L'Hommewas launched in 2016. The nose behind this fragrance is Daniela (Roche) Andrier. Top notes are Neroli, Black Pepper, Cardamom and Carrot Seeds; middle notes are Iris, Violet, Geranium and Mate; base notes are Amber, Cedar, Sandalwood and Patchouli.",https://www.fragrantica.com/perfume/Prada/Prada-L-Homme-39029.html
Noir Extreme Tom Fordfor men,for men,4.43,9120,"['warm spicy', 'sweet', 'vanilla', 'woody', 'powdery', 'amber', 'fresh spicy', 'white floral', 'aromatic', 'citrus']","Noir ExtremebyTom Fordis a Amber Woody fragrance for men.Noir Extremewas launched in 2015. The nose behind this fragrance is Sonia Constant. Top notes are Cardamom, Nutmeg, Saffron, Mandarin Orange and Neroli; middle notes are Kulfi, Rose, Mastic or Lentisque, Orange Blossom and Jasmine; base notes are Vanilla, Amber, Woody Notes and Sandalwood.",https://www.fragrantica.com/perfume/Tom-Ford/Noir-Extreme-29675.html
Allure Homme Edition Blanche Chanelfor men,for men,4.42,6454,"['citrus', 'aromatic', 'vanilla', 'woody', 'powdery', 'soft spicy', 'musky', 'sweet']",Allure Homme Edition BlanchebyChanelis a Amber fragrance for men.Allure Homme Edition Blanchewas launched in 2008. The nose behind this fragrance is Jacques Polge.,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Edition-Blanche-2653.html
Bleu de Chanel Eau de Parfum Chanelfor men,for men,4.42,13646,"['citrus', 'amber', 'woody', 'warm spicy', 'aromatic', 'fresh spicy', 'smoky', 'balsamic', 'fresh', 'powdery']","Bleu de Chanel Eau de ParfumbyChanelis a Woody Aromatic fragrance for men.Bleu de Chanel Eau de Parfumwas launched in 2014. The nose behind this fragrance is Jacques Polge. Top notes are Grapefruit, Lemon, Mint, Pink Pepper, Bergamot, Aldehydes and Coriander; middle notes are Ginger, Nutmeg, Jasmine and Melon; base notes are Incense, Amber, Cedar, Sandalwood, Patchouli, Amberwood and Labdanum.",https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-Eau-de-Parfum-25967.html
Alien Essence Absolue Muglerfor women,for women,4.35,"6,150","['amber', 'vanilla', 'white floral', 'balsamic', 'powdery', 'woody', 'warm spicy']","Alien Essence AbsoluebyMugleris a Amber Woody fragrance for women.Alien Essence Absoluewas launched in 2012. The nose behind this fragrance is Pierre Aulas. Top note is Jasmine; middle notes are Cashmere Wood and Orris Root; base notes are Vanilla Pod, White Amber, Myrrh and Incense.",https://www.fragrantica.com/perfume/Mugler/Alien-Essence-Absolue-15452.html
Lira Xerjofffor women,for women,4.31,"7,101","['citrus', 'caramel', 'vanilla', 'sweet', 'cinnamon', 'powdery', 'fresh spicy', 'soft spicy', 'warm spicy', 'balsamic']","LirabyXerjoffis a Amber Floral fragrance for women.Lirawas launched in 2011. The nose behind this fragrance is Chris Maurice. Top notes are Blood Orange, Bergamot and Lavender; middle notes are Cinnamon, Licorice and Jasmine; base notes are Caramel, Vanille and Musk.",https://www.fragrantica.com/perfume/Xerjoff/Lira-11801.html
L'Heure Bleue Eau de Parfum Guerlainfor women,for women,4.29,"5,284","['powdery', 'floral', 'vanilla', 'warm spicy', 'violet', 'woody', 'aromatic', 'iris', 'sweet', 'amber']","L'Heure Bleue Eau de ParfumbyGuerlainis a Amber Floral fragrance for women.L'Heure Bleue Eau de Parfumwas launched in 1912. The nose behind this fragrance is Jacques Guerlain. Top notes are Anise, Neroli, Coriander, Bergamot and Lemon; middle notes are Heliotrope, Carnation, Violet, Cloves, Neroli, Ylang-Ylang, Bulgarian Rose, Jasmine, Orchid and Tuberose; base notes are Iris, Vanilla, Benzoin, Sandalwood, Tonka Bean, Musk and Vetiver.",https://www.fragrantica.com/perfume/Guerlain/L-Heure-Bleue-Eau-de-Parfum-208.html
Noir Pour Femme Tom Fordfor women,for women,4.29,"5,654","['sweet', 'vanilla', 'amber', 'woody', 'powdery', 'citrus', 'balsamic', 'warm spicy', 'lactonic', 'aromatic']","Noir Pour FemmebyTom Fordis a Amber Floral fragrance for women.Noir Pour Femmewas launched in 2015. The nose behind this fragrance is Sonia Constant. Top notes are Ginger, Bitter Orange, Mandarin Orange and Bergamot; middle notes are Kulfi, Rose, Orange Blossom and Jasmine; base notes are Vanilla, Amber, Sandalwood and Mastic or Lentisque.",https://www.fragrantica.com/perfume/Tom-Ford/Noir-Pour-Femme-30957.html
Coco Eau de Parfum Chanelfor women,for women,4.26,"12,365","['amber', 'warm spicy', 'sweet', 'powdery', 'woody', 'vanilla', 'white floral', 'rose', 'floral', 'animalic']","Coco Eau de ParfumbyChanelis a Amber Spicy fragrance for women.Coco Eau de Parfumwas launched in 1984. The nose behind this fragrance is Jacques Polge. Top notes are Bulgarian Rose, Coriander, Peach, Jasmine and Mandarin Orange; middle notes are Cloves, Rose, Orange Blossom, Mimosa and Clover; base notes are Amber, Sandalwood, Tonka Bean, Opoponax, Civet, Vanilla and Labdanum.",https://www.fragrantica.com/perfume/Chanel/Coco-Eau-de-Parfum-609.html
Brazilian Crush Cheirosa '62 Sol de Janeirofor women,for women,4.26,"5,785","['vanilla', 'caramel', 'sweet', 'almond', 'nutty', 'woody', 'powdery', 'salty', 'fruity', 'balsamic']","Brazilian Crush Cheirosa '62bySol de Janeirois a fragrance for women. Top notes are Pistachio and Almond; middle notes are Heliotrope and Jasmine; base notes are Caramel, Vanilla, Salt and Sandalwood.",https://www.fragrantica.com/perfume/Sol-de-Janeiro/Brazilian-Crush-Cheirosa-62-56062.html
Libre Intense Yves Saint Laurentfor women,for women,4.26,"7,124","['vanilla', 'white floral', 'lavender', 'citrus', 'sweet', 'aromatic', 'amber', 'powdery', 'floral', 'fresh spicy']","Libre IntensebyYves Saint Laurentis a Amber Fougere fragrance for women.Libre Intensewas launched in 2020. Libre Intense was created by Anne Flipo and Carlos Benaim. Top notes are Lavender, Mandarin Orange and Bergamot; middle notes are Lavender, Tunisian Orange Blossom, Jasmine Sambac and Orchid; base notes are Madagascar Vanilla, Tonka Bean, Ambergris and Vetiver.",https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Libre-Intense-62318.html
Chanel NÂ°5 Eau Premiere Chanelfor women,for women,4.22,"6,131","['woody', 'aldehydic', 'fresh', 'white floral', 'yellow floral', 'vanilla', 'sweet', 'rose', 'floral', 'powdery']","Chanel NÂ°5 Eau PremierebyChanelis a Floral Aldehyde fragrance for women.Chanel NÂ°5 Eau Premierewas launched in 2008. The nose behind this fragrance is Jacques Polge. Top notes are Aldehydes, Ylang-Ylang and Neroli; middle notes are Jasmine and Tincture of Rose; base notes are Vanille, Sandalwood and Vetyver.",https://www.fragrantica.com/perfume/Chanel/Chanel-N05-Eau-Premiere-1360.html
L'Instant Magic Guerlainfor women,for women,4.22,"5,811","['powdery', 'floral', 'violet', 'iris', 'almond', 'sweet', 'woody', 'musky', 'vanilla', 'anis']","L'Instant MagicbyGuerlainis a Floral Woody Musk fragrance for women.L'Instant Magicwas launched in 2007. L'Instant Magic was created by Sylvaine Delacourte and Randa Hammami. Top notes are Anise, Bergamot and Lemon; middle notes are Violet, Mimosa, Rose, Freesia and Carnation; base notes are Iris, Almond, Vanilla, White Musk, Sandalwood and Cedar.",https://www.fragrantica.com/perfume/Guerlain/L-Instant-Magic-1106.html
Midnight Poison Diorfor women,for women,4.21,"9,404","['patchouli', 'citrus', 'rose', 'woody', 'amber', 'warm spicy', 'earthy', 'vanilla', 'balsamic', 'floral']","Midnight PoisonbyDioris a Woody Chypre fragrance for women.Midnight Poisonwas launched in 2007. Midnight Poison was created by Jacques Cavallier, Olivier Cresp and FranÃ§ois Demachy. Top notes are Bergamot and Mandarin Orange; middle note is Rose; base notes are Patchouli, Amber and Vanilla.",https://www.fragrantica.com/perfume/Dior/Midnight-Poison-1282.html
Coco Mademoiselle Eau de Toilette Chanelfor women,for women,4.2,"5,748","['citrus', 'patchouli', 'woody', 'fresh spicy', 'earthy', 'rose', 'aromatic', 'white floral', 'warm spicy', 'fruity']","Coco Mademoiselle Eau de ToilettebyChanelis a Amber Floral fragrance for women.Coco Mademoiselle Eau de Toilettewas launched in 2002. The nose behind this fragrance is Jacques Polge. Top notes are Orange, Bergamot and Grapefruit; middle notes are Litchi, Rose and Italian Jasmine; base notes are Patchouli, Tahitian Vetiver, Bourbon Vanilla and White Musk.",https://www.fragrantica.com/perfume/Chanel/Coco-Mademoiselle-Eau-de-Toilette-612.html
Chanel No 19 Eau de Parfum Chanelfor women,for women,4.17,"6,042","['green', 'earthy', 'woody', 'iris', 'mossy', 'aromatic', 'citrus', 'powdery', 'white floral', 'yellow floral']","Chanel No 19 Eau de ParfumbyChanelis a Floral Green fragrance for women. Top notes are Green Notes, Bergamot and Neroli; middle notes are Iris, Rose, Narcissus, Lily-of-the-Valley and Ylang-Ylang; base notes are oak moss, Vetiver, Leather and Sandalwood.",https://www.fragrantica.com/perfume/Chanel/Chanel-No-19-Eau-de-Parfum-12345.html
L'Interdit Eau de Parfum Rouge Givenchyfor women,for women,4.17,"5,679","['warm spicy', 'white floral', 'woody', 'tuberose', 'citrus', 'patchouli', 'earthy', 'powdery', 'animalic']","L'Interdit Eau de Parfum RougebyGivenchyis a Amber Floral fragrance for women.L'Interdit Eau de Parfum Rougewas launched in 2021. L'Interdit Eau de Parfum Rouge was created by Dominique Ropion, Anne Flipo and Fanny Bal. Top notes are Ginger and Blood Orange; middle notes are Tuberose, Jasmine and Pimento Leaf; base notes are Sandalwood, Patchouli and Vetiver.",https://www.fragrantica.com/perfume/Givenchy/L-Interdit-Eau-de-Parfum-Rouge-68404.html
Bottega Veneta Bottega Venetafor women,for women,4.17,"6,678","['leather', 'earthy', 'mossy', 'patchouli', 'woody', 'animalic', 'white floral', 'soft spicy', 'warm spicy', 'citrus']","Bottega VenetabyBottega Venetais a Chypre Floral fragrance for women.Bottega Venetawas launched in 2011. The nose behind this fragrance is Michel Almairac. Top notes are Pink Pepper and Bergamot; middle note is Jasmine; base notes are Leather, oak moss and Patchouli.",https://www.fragrantica.com/perfume/Bottega-Veneta/Bottega-Veneta-12863.html
La Belle Jean Paul Gaultierfor women,for women,4.15,"6,344","['vanilla', 'fruity', 'sweet', 'powdery', 'aquatic', 'aromatic', 'woody', 'amber', 'fresh', 'earthy']","La BellebyJean Paul Gaultieris a Amber Vanilla fragrance for women.La Bellewas launched in 2019. La Belle was created by Quentin Bisch and Sonia Constant. Top notes are Pear and Bergamot; middle notes are Floral Notes and Leather; base notes are Vanilla, Vetiver, Amber and Musk.",https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/La-Belle-55786.html
Gucci Eau de Parfum II Guccifor women,for women,4.14,"5,630","['fruity', 'woody', 'floral', 'fresh', 'powdery', 'sweet', 'aromatic', 'soft spicy', 'violet', 'green']","Gucci Eau de Parfum IIbyGucciis a Floral Fruity fragrance for women.Gucci Eau de Parfum IIwas launched in 2004. Gucci Eau de Parfum II was created by Antoine Maisondieu and Daniela (Roche) Andrier. Top notes are Black Currant, Red Berries, Cassia, Bitter Orange and Mandarin Orange; middle notes are Blackberry, Peony, Violet, Freesia, Jasmine and Lily-of-the-Valley; base notes are Cedar, Musk and Heliotrope.",https://www.fragrantica.com/perfume/Gucci/Gucci-Eau-de-Parfum-II-685.html
Allure Eau de Parfum Chanelfor women,for women,4.13,"8,730","['citrus', 'floral', 'white floral', 'vanilla', 'fruity', 'woody', 'sweet', 'powdery', 'rose', 'aromatic']",Allure Eau de ParfumbyChanelis a Amber Vanilla fragrance for women.Allure Eau de Parfumwas launched in 1999. The nose behind this fragrance is Jacques Polge.,https://www.fragrantica.com/perfume/Chanel/Allure-Eau-de-Parfum-176.html
Chanel No 19 Poudre Chanelfor women,for women,4.13,"5,405","['iris', 'green', 'powdery', 'aromatic', 'earthy', 'woody', 'violet', 'white floral', 'musky', 'citrus']","Chanel No 19 PoudrebyChanelis a Floral Woody Musk fragrance for women.Chanel No 19 Poudrewas launched in 2011. The nose behind this fragrance is Jacques Polge. Top notes are Galbanum, Neroli and Mandarin Orange; middle notes are Iris and Jasmine; base notes are Vetiver, Musk and Tonka Bean.",https://www.fragrantica.com/perfume/Chanel/Chanel-No-19-Poudre-12424.html
Chanel No 5 L'Eau Chanelfor women,for women,4.13,"5,868","['citrus', 'aldehydic', 'fresh', 'woody', 'powdery', 'yellow floral', 'sweet', 'white floral', 'musky']","Chanel No 5 L'EaubyChanelis a Floral Aldehyde fragrance for women.Chanel No 5 L'Eauwas launched in 2016. The nose behind this fragrance is Olivier Polge. Top notes are Aldehydes, Lemon, Neroli, Mandarin Orange, Bergamot, Orange and Lime; middle notes are Ylang-Ylang, Jasmine and May Rose; base notes are White Musk, Orris Root, Cedar and Vanila.",https://www.fragrantica.com/perfume/Chanel/Chanel-No-5-L-Eau-38543.html
Valentino Donna Born In Roma Valentinofor women,for women,4.13,"6,269","['woody', 'vanilla', 'fruity', 'soft spicy', 'white floral', 'powdery', 'floral', 'musky', 'green', 'fresh']","Valentino Donna Born In RomabyValentinois a Amber Floral fragrance for women.Valentino Donna Born In Romawas launched in 2019. Top notes are Black Currant, Pink Pepper and Bergamot; middle notes are Jasmine, Jasmine Sambac and Jasmine Tea; base notes are Bourbon Vanilla, Cashmeran and Guaiac Wood.",https://www.fragrantica.com/perfume/Valentino/Valentino-Donna-Born-In-Roma-55805.html
XJ 1861 Naxos Xerjofffor women and men,for women and men,4.51,"9,969","['sweet', 'vanilla', 'honey', 'tobacco', 'lavender', 'citrus', 'aromatic', 'floral', 'warm spicy', 'powdery']","XJ 1861 NaxosbyXerjoffis a Citrus Gourmand fragrance for women and men.XJ 1861 Naxoswas launched in 2015. Top notes are Lavender, Bergamot and Lemon; middle notes are Honey, Cinnamon, Cashmeran and Jasmine Sambac; base notes are Tobacco Leaf, Vanilla and Tonka Bean.",https://www.fragrantica.com/perfume/Xerjoff/XJ-1861-Naxos-30529.html
Layton Parfums de Marlyfor women and men,for women and men,4.46,"11,455","['warm spicy', 'vanilla', 'fresh spicy', 'woody', 'aromatic', 'fruity', 'powdery', 'lavender', 'fresh', 'citrus']","LaytonbyParfums de Marlyis a Amber Floral fragrance for women and men.Laytonwas launched in 2016. The nose behind this fragrance is Hamid Merati-Kashani. Top notes are Apple, Lavender, Bergamot and Mandarin Orange; middle notes are Geranium, Violet and Jasmine; base notes are Vanilla, Cardamom, Sandalwood, Pepper, Guaiac Wood and Patchouli.",https://www.fragrantica.com/perfume/Parfums-de-Marly/Layton-39314.html
02 L'Air du Desert Marocain Tauer Perfumesfor women and men,for women and men,4.4,"6,890","['woody', 'aromatic', 'amber', 'fresh spicy', 'earthy', 'soft spicy', 'herbal', 'animalic']","02 L'Air du Desert MarocainbyTauer Perfumesis a Amber Spicy fragrance for women and men.02 L'Air du Desert Marocainwas launched in 2005. The nose behind this fragrance is Andy Tauer. Top notes are Coriander, Cumin, Petitgrain and Lavender; middle notes are Labdanum, Birch, Jasmine and Geranium; base notes are Amber, Cedar, Vetiver, Patchouli and Oakmoss.",https://www.fragrantica.com/perfume/Tauer-Perfumes/02-L-Air-du-Desert-Marocain-4573.html
Khamrah Lattafa Perfumesfor women and men,for women and men,4.39,"9,276","['sweet', 'warm spicy', 'vanilla', 'amber', 'cinnamon', 'woody', 'fresh spicy', 'fruity']","KhamrahbyLattafa Perfumesis a Aromatic Spicy fragrance for women and men. This is a new fragrance.Khamrahwas launched in 2022. Top notes are Cinnamon, Nutmeg and Bergamot; middle notes are Dates, Praline, Tuberose and Mahonial; base notes are Vanilla, Tonka Bean, Amberwood, Myrrh, Benzoin and Akigalawood.",https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-75805.html
Angels' Share By Kilianfor women and men,for women and men,4.38,"12,081","['woody', 'warm spicy', 'sweet', 'vanilla', 'cinnamon', 'amber', 'powdery']","Angels' SharebyBy Kilianis a Amber Vanilla fragrance for women and men.Angels' Sharewas launched in 2020. The nose behind this fragrance is Benoist Lapouza. Top note is Cognac; middle notes are Cinnamon, Tonka Bean and Oak; base notes are Vanilla, Praline and Sandalwood.",https://www.fragrantica.com/perfume/By-Kilian/Angels-Share-62615.html
Hacivat Nishanefor women and men,for women and men,4.35,"6,761","['woody', 'citrus', 'mossy', 'fruity', 'earthy', 'sweet', 'fresh spicy', 'tropical', 'patchouli', 'aromatic']","HacivatbyNishaneis a Chypre fragrance for women and men.Hacivatwas launched in 2017. The nose behind this fragrance is Jorge Lee. Top notes are Pineapple, Grapefruit and Bergamot; middle notes are Cedar, Patchouli and Jasmine; base notes are Oakmoss and Woody Notes.",https://www.fragrantica.com/perfume/Nishane/Hacivat-44174.html
Side Effect Initio Parfums Privesfor women and men,for women and men,4.34,"5,398","['warm spicy', 'rum', 'tobacco', 'cinnamon', 'sweet', 'woody']",Side EffectbyInitio Parfums Privesis a Amber fragrance for women and men.Side Effectwas launched in 2016.,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Side-Effect-42260.html
OmbrÃ© Leather (2018) Tom Fordfor women and men,for women and men,4.34,"11,278","['leather', 'animalic', 'warm spicy', 'white floral', 'amber', 'smoky', 'earthy', 'mossy', 'patchouli']","OmbrÃ© Leather (2018)byTom Fordis a Leather fragrance for women and men.OmbrÃ© Leather (2018)was launched in 2018. The nose behind this fragrance is Sonia Constant. Top note is Cardamom; middle notes are Leather and Jasmine Sambac; base notes are Amber, Moss and Patchouli.",https://www.fragrantica.com/perfume/Tom-Ford/Ombre-Leather-2018-50239.html
Acqua di Parma Blu Mediterraneo - Fico di Amalfi Acqua di Parmafor women and men,for women and men,4.32,"6,211","['citrus', 'woody', 'fruity', 'sweet', 'fresh spicy', 'aromatic']","Acqua di Parma Blu Mediterraneo - Fico di AmalfibyAcqua di Parmais a Floral Fruity fragrance for women and men.Acqua di Parma Blu Mediterraneo - Fico di Amalfiwas launched in 2006. Top notes are Grapefruit, Bergamot, Citron and Lemon; middle notes are Fig Nectar, Jasmine and Pink Pepper; base notes are Fig Tree, Cedar and Benzoin.",https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Fico-di-Amalfi-1687.html
Noir de Noir Tom Fordfor women and men,for women and men,4.32,"7,481","['earthy', 'rose', 'patchouli', 'warm spicy', 'vanilla', 'woody', 'oud', 'floral', 'balsamic', 'mossy']","Noir de NoirbyTom Fordis a Chypre fragrance for women and men.Noir de Noirwas launched in 2007. Noir de Noir was created by Jacques Cavallier, Harry Fremont and Olivier Cresp. Top note is Saffron; middle notes are Black Rose, Truffle and Floral Notes; base notes are Patchouli, Vanilla, Agarwood (Oud) and Oakmoss.",https://www.fragrantica.com/perfume/Tom-Ford/Noir-de-Noir-1822.html
